id,gesture_name,timestamp,ax,ay,az,gx,gy,gz,p0,p1,p2,p3
2,2,10389,0,0,0.95,-0.62,-1.53,-0.2,4007,3687,4095,4095
2,2,10401,0,0,0.96,0.25,-2.14,-0.66,4014,3685,4095,4095
2,2,10413,0,0.01,0.95,0.71,-3.85,-0.16,3987,3682,4095,4095
2,2,10425,-0.01,0.02,0.95,0.53,-4.7,0.44,4016,3681,4095,4095
2,2,10437,-0.01,0.01,0.94,-0.16,-5.45,1.12,4009,3685,4095,4095
2,2,10449,0.02,0.01,0.92,-0.13,-5.53,1.57,4010,3684,4095,4095
2,2,10461,0.04,0.02,0.92,-0.16,-4.17,0.47,3986,3683,4095,4095
2,2,10473,0.03,0.02,0.92,-0.33,-3.16,0.93,4017,3682,4095,4095
2,2,10485,0.03,0.01,0.92,-0.25,-1.74,1.58,4002,3689,4095,4095
2,2,10497,0.05,0.03,0.92,-1.09,0.14,2.19,4000,3689,4095,4095
2,2,10509,0,-0.02,0.92,-0.91,1.36,2.24,4010,3685,4095,4095
2,2,10521,-0.01,-0.01,0.92,-0.94,2.18,2.9,4006,3685,4095,4095
2,2,10533,-0.01,-0.01,0.94,-0.13,3.75,2.62,4032,3684,4095,4095
2,2,10545,0.02,-0.01,0.94,0.32,5.07,1.28,3991,3678,4095,4095
2,2,10557,0.03,0,0.93,0.57,4.87,0.25,4016,3690,4095,4095
2,2,10569,0.02,0,0.94,-0.3,4.41,-2.14,4013,3686,4095,4095
2,2,10581,0,0,0.93,-0.95,2.75,-3.26,4013,3679,4095,4095
2,2,10593,0.01,0,0.94,-0.77,1.92,-4.34,4001,3685,4095,4095
2,2,10605,-0.03,-0.02,0.92,-0.6,0.14,-4.86,4011,3681,4095,4095
2,2,10617,-0.02,0,0.95,0.24,-0.87,-4.16,3998,3682,4095,4095
2,2,10629,-0.01,0,0.94,1.37,-0.17,-5.5,4003,3690,4095,4095
2,2,10641,0.01,0.02,0.94,1.72,0,-5.7,4029,3685,4095,4095
2,2,10653,0.02,0.03,0.95,0.85,0.27,-5.99,3999,3687,4095,4095
2,2,10665,0.04,0.04,0.98,0.86,-0.66,-5.26,4003,3690,4095,4095
2,2,10677,0.02,0.03,0.96,0.04,-1.71,-4.59,3999,3691,4095,4095
2,2,10689,-0.01,0.04,0.95,-0.95,-3.3,-2.08,3985,3683,4095,4095
2,2,10701,0,0.03,0.94,-1.64,-5.07,1.28,3999,3686,4095,4095
2,2,10713,0,0.03,0.94,-2.36,-5.25,3.28,3995,3680,4095,4095
2,2,10725,-0.01,0.01,0.94,-1.9,-5.19,4.27,4012,3686,4095,4095
2,2,10737,0.01,0,0.94,-0.8,-4.34,4.93,4019,3680,4095,4095
2,2,10749,0.03,0,0.93,0.06,-4.29,4.16,4007,3683,4095,4095
2,2,10761,0.03,0,0.94,0.27,-4.86,1.51,4005,3682,4095,4095
2,2,10773,0.03,0,0.94,-0.2,-6.03,0.35,3978,3682,4095,4095
2,2,10785,0.01,0,0.93,-0.19,-6.8,-0.56,4033,3687,4095,4095
2,2,10797,-0.01,0,0.93,-0.51,-7.51,-1.5,4007,3683,4095,4095
2,2,10809,-0.02,0,0.93,-0.4,-7.51,-1.06,4011,3681,4095,4095
2,2,10821,-0.02,0,0.93,-0.52,-6.47,-0.8,3982,3685,4095,4095
2,2,10833,-0.03,-0.01,0.94,0.42,-5.21,-1.36,4023,3687,4095,4095
2,2,10845,-0.01,0.02,0.94,0.16,-5.74,-0.71,4002,3684,4095,4095
2,2,10857,-0.01,0.02,0.93,-0.31,-6.22,-0.86,4003,3680,4095,4095
2,2,10869,0.01,0.02,0.92,-1.3,-8.66,0.01,4002,3687,4095,4095
2,2,10881,0.03,0.02,0.9,-1.23,-10.52,-1.56,4010,3683,4095,4095
2,2,10893,0.03,0.01,0.9,-0.48,-10.93,-1.41,3980,3686,4095,4095
2,2,10905,0.06,0.06,0.92,0.21,-9.13,-0.39,4001,3679,4095,4095
2,2,10917,-0.01,0.01,0.92,-0.04,-7.27,1.2,4026,3681,4095,4095
2,2,10929,-0.03,0.03,0.9,-1.88,-5.13,4.82,4006,3684,4095,4095
