id,gesture_name,timestamp,ax,ay,az,gx,gy,gz,p0,p1,p2,p3
2,1,688677,1.17,0.34,0.85,1.15,-1.76,-1.87,3965,4095,4095,4095
2,1,688689,1.18,0.36,0.86,0.41,3.51,-0.46,3971,4095,4095,4095
2,1,688701,1.18,0.35,0.88,0.77,4.50,0.13,3983,4095,4095,4095
2,1,688713,1.19,0.34,0.87,-0.66,7.59,-0.54,3999,4095,4095,4095
2,1,688725,1.19,0.35,0.89,-1.27,7.97,-1.14,3982,4095,4095,4095
2,1,688737,1.17,0.35,0.87,-0.85,9.34,-1.78,3949,4095,4095,4095
2,1,688749,1.18,0.36,0.89,-0.25,10.41,-1.69,3968,4095,4095,4095
2,1,688761,1.07,0.41,0.88,2.05,8.70,0.62,3973,4095,4095,4095
2,1,688773,1.24,0.35,0.83,-3.17,15.19,6.48,3971,4095,4095,4095
2,1,688785,1.34,0.22,1.08,1.69,12.65,1.49,3971,4095,4095,4095
2,1,688797,1.17,0.33,0.91,12.67,2.26,-12.31,3966,4095,4095,4095
2,1,688809,0.98,0.51,0.76,-0.46,-1.80,-2.88,3967,4095,4095,4095
2,1,688821,1.21,0.40,0.89,-10.53,8.36,8.79,3982,4095,4095,4095
2,1,688833,1.27,0.25,1.11,0.74,10.72,3.96,3956,4095,4095,4095
2,1,688845,1.19,0.32,0.90,12.86,2.96,-7.88,3967,4095,4095,4095
2,1,688857,1.05,0.46,0.85,2.07,4.88,-5.20,3967,4095,4095,4095
2,1,688869,1.19,0.38,0.97,-4.75,0.14,5.02,3984,4095,4095,4095
2,1,688881,1.21,0.31,0.98,-0.59,-8.11,0.42,3967,4095,4095,4095
2,1,688893,1.11,0.41,0.81,-4.16,-8.17,-2.22,3967,4095,4095,4095
2,1,688905,1.17,0.38,0.85,-10.40,-2.23,7.08,3970,4095,4095,4095
2,1,688917,1.28,0.25,0.94,-1.69,2.24,2.54,3993,4095,4095,4095
2,1,688929,1.18,0.32,0.86,6.62,5.94,-6.11,3943,4095,4095,4095
2,1,688941,1.15,0.41,0.82,2.80,13.22,-1.06,3973,4095,4095,4095
2,1,688953,1.18,0.34,0.94,4.57,15.69,2.48,3983,4095,4095,4095
2,1,688965,1.20,0.32,0.93,7.52,14.36,-1.99,3968,4095,4095,4095
2,1,688977,1.21,0.37,0.88,6.60,9.43,-1.17,3999,4095,4095,4095
