ax_mean,ax_min,ax_median,ay_mean,ay_min,ay_median,gy_std,gy_range,gz_std,gz_min,p1_mean,p1_max,p1_median,p2_mean,p2_min,p2_max,p2_median,p3_mean,p3_std,p3_min,p3_max,p3_range,p3_median,ax_rms,ax_energy,ay_rms,ay_energy,gy_rms,gy_zcr,gz_rms,p1_rms,p1_energy,p2_rms,p2_energy,p3_rms,p3_energy,p3_kurtosis,ax_fft_mean,ax_fft_std,ax_fft_max,ay_fft_mean,ay_fft_std,gy_fft_mean,gy_fft_std,gy_fft_max,gz_fft_mean,gz_fft_std,acc_magnitude_max,gyro_magnitude_mean,corr_ax_az,p_diff_01,p_diff_02,p_diff_03,p_diff_12,p_diff_23,p_total_mean,p_total_min,p_active_sensors_mean,p_active_sensors_max,p_variance_across,gy_peak_count,gy_peak_interval_mean,gesture_name
0.009200000000000002,-0.12,0.01,0.015500000000000003,-0.08,0.02,7.399981034435156,37.239999999999995,9.061563156542032,-21.58,3740.75,3811.0,3785.0,3792.05,3760.0,3811.0,3792.0,4062.1,85.11515728705434,3837.0,4095.0,258.0,4095.0,0.04573838650411708,0.0020919999999999997,0.04464302857109943,0.001993,8.613730608743229,0.08,10.530880495001355,3742.585909501611,14006949.29,3792.057848978573,14379702.73,4062.9916317905454,16507901.0,2.8447600305783993,0.3156244312733244,0.34343153376385016,1.4361482927933051,0.3039547494680527,0.36173956139163627,49.7579151945371,82.97551879616816,440.87,56.167098992782066,103.98836957436642,1.0304853225543777,13.225309201134676,0.07147829473749762,144.99,93.69,-176.36,-51.3,-270.05,15480.64,14871.0,3.13,4.0,19446.25125,13.0,7.5,3
0.009600000000000003,-0.06,0.01,0.05239999999999998,-0.02,0.06,5.582580098843186,25.939999999999998,7.478685351717908,-21.58,3564.05,3792.0,3437.0,3800.32,3760.0,3817.0,3803.5,3935.16,122.59027041327545,3825.0,4095.0,270.0,3845.0,0.034351128074635334,0.00118,0.05949789912257407,0.0035399999999999997,5.591114200228788,0.13,8.69120434692454,3568.1004456152855,12731340.79,3800.333898488395,14442537.74,3937.0690367327825,15500512.6,-1.7084552965434279,0.2393343966815949,0.26442209923729326,1.1686669220200279,0.2871650529556495,0.7389940678794243,33.196180762059114,45.070290245489836,208.6701201345902,52.15879526097937,82.41916641730391,1.0302426898551622,9.199848929258831,-0.33462752170116283,337.88,101.61,-33.23,-236.27,-134.84,15201.46,14907.0,3.63,4.0,26715.44625,15.0,6.285714285714286,3
0.014600000000000002,-0.06,0.015,0.0626,-0.01,0.06,4.729384800373089,23.67,3.984798327393747,-12.39,3431.13,3444.0,3430.5,3806.58,3790.0,3845.0,3807.0,3840.89,5.075224132981715,3825.0,3861.0,36.0,3841.0,0.03722902093797256,0.0013859999999999996,0.06688796603276258,0.0044740000000000005,4.926021619928195,0.16,4.137235671314845,3431.1331029267867,11772674.37,3806.5856223129936,14490094.1,3840.893353114611,14752461.75,4.052377660898893,0.2477680517199373,0.3138837245651747,1.46,0.2891064693927994,0.8693040028409108,32.92486244724399,39.144283526845435,165.2175228514012,25.618773774590046,34.338616429413364,0.9637945839233586,6.264402922834645,-0.2126063552401634,461.67,86.22,51.91,-375.45,-34.31,14971.4,14917.0,4.0,4.0,33390.61875,13.0,7.5,4
0.0199,-0.06,0.02,0.0746,-0.01,0.08,6.670906358209504,31.619999999999997,4.63485358884183,-15.07,3428.99,3444.0,3429.0,3806.05,3790.0,3845.0,3806.0,3841.52,8.243154735900571,3821.0,3894.0,73.0,3841.0,0.04070626487409524,0.001657,0.08017480901130979,0.006428000000000001,6.671378867970248,0.12,5.075649219558026,3428.9923578217554,11757988.59,3806.054956250632,14486054.33,3841.528844093195,14757343.86,24.344278534486243,0.2691098370986942,0.36446110296808676,1.99,0.3445967578935094,1.0394965485509233,42.74270565254208,51.224484433717315,208.7768717954715,30.826781992973988,45.320515133410105,0.98812954616285,7.793231728434239,-0.14789823576253913,462.58,85.52,50.05,-377.06,-35.47,14968.13,14917.0,4.0,4.0,33656.206875,12.0,7.363636363636363,4
-0.4037000000000001,-0.96,-0.03,-0.3002,-0.83,0.065,6.294912532354997,34.519999999999996,3.840160490135797,-15.07,3721.78,4095.0,3433.5,3933.25,3797.0,4095.0,3809.5,3953.39,125.78862388944398,3821.0,4095.0,274.0,3846.0,0.6292908707426162,0.39600700000000016,0.5343837572381855,0.28556600000000004,6.371340753718953,0.28,4.182441033654868,3736.455100760613,13961096.72,3935.8642214893543,15491027.17,3955.3906595935628,15645115.27,-1.9339877538644075,2.89270844962406,6.894220900542248,40.37,2.459223848201555,5.6143407506524525,42.03126676671682,48.881467919704356,264.25790731609,27.809817905559054,35.34808849230249,1.4831722759005441,5.825701753651917,0.9342215872686317,259.76,48.29,28.15,-211.47,-20.14,15589.96,14937.0,2.24,4.0,18942.75375,20.0,5.052631578947368,4
-0.8883000000000001,-0.96,-0.95,-0.7467999999999999,-0.83,-0.8,3.1575197608249423,18.35,0.8418533126382529,-6.13,4055.02,4095.0,4095.0,4077.89,3801.0,4095.0,4095.0,4079.7,60.57615042242284,3830.0,4095.0,265.0,4095.0,0.9193111551591224,0.845133,0.7756403805888399,0.6016180000000003,3.255722961186962,0.47,1.0753036780370464,4058.10657819629,16468229.0,4078.4532227304016,16633780.69,4080.1496982341223,16647621.56,11.767349066611978,3.429222827669584,12.315088745039144,88.83,2.9712460978561763,10.349131394758421,25.222567810812464,22.056377060364355,79.36000000000001,8.595442577189303,9.300502723091977,1.4831722759005441,2.053438810022132,0.9652516357596572,27.91,5.04,3.23,-22.87,-1.81,16295.54,14941.0,0.24,4.0,2034.2225,32.0,2.967741935483871,4
-0.9489,-0.96,-0.95,-0.8005,-0.82,-0.8,0.15479715759664323,0.8400000000000001,0.25782466910674007,-1.36,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,0.0,4095.0,4095.0,0.0,4095.0,0.9489093739657123,0.900429,0.80052670161588,0.6408430000000003,0.16355427233796127,0.47,0.640393628950195,4095.0,16769025.0,4095.0,16769025.0,4095.0,16769025.0,0.0,1.932776920159058,13.279622335627641,94.89,1.6550992379758869,11.199326877649908,1.4423974212940072,0.9052345988993121,5.279999999999999,3.339161917883848,8.012865759898531,1.478546583642193,1.308088180608626,-0.04989400717644772,0.0,0.0,0.0,0.0,0.0,16380.0,16380.0,0.0,0.0,0.0,33.0,2.9375,idle
-0.6997000000000001,-0.96,-0.95,-0.5852,-0.81,-0.8,1.553705493328771,6.609999999999999,3.4336133314629356,-2.3,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,0.0,4095.0,4095.0,0.0,4095.0,0.8162297470688018,0.6662310000000001,0.6885172474237665,0.4740560000000002,1.6873731063401478,0.37,3.493540181535057,4095.0,16769025.0,4095.0,16769025.0,4095.0,16769025.0,0.0,3.3567607674206226,10.213384216326423,69.97,2.8680993324397868,8.568867732627133,10.715290941688574,14.60220750554404,68.09930480662268,22.968036002324233,27.09293173866456,1.478546583642193,2.7334271726522887,0.9891999923938806,-57.81,-57.81,-57.81,0.0,0.0,16322.19,16125.0,0.26,1.0,2419.513125,26.0,3.04,idle
-0.22000000000000003,-0.95,0.0,-0.17180000000000006,-0.81,0.02,2.4659146376142056,12.379999999999999,4.054578567496257,-6.36,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,0.0,4095.0,4095.0,0.0,4095.0,0.4648806298395321,0.21611400000000006,0.3926219555755892,0.15415199999999996,2.4801129006559357,0.2,4.056048816274282,4095.0,16769025.0,4095.0,16769025.0,4095.0,16769025.0,0.0,2.4146339391628144,4.541021794689281,22.0,2.0476005999109343,3.764791598912798,14.198178608269286,20.50622491361305,133.08598905035402,23.945594629306036,32.74426340367042,1.4720733677368123,4.0357751389257635,0.9798146145833473,-167.5,-167.5,-167.5,0.0,0.0,16212.5,16116.0,0.76,1.0,6952.76625,16.0,6.133333333333334,idle
0.011399999999999999,-0.03,0.01,0.035699999999999996,-0.01,0.04,2.0387652611323355,10.370000000000001,1.913485957617667,-6.56,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,0.0,4095.0,4095.0,0.0,4095.0,0.019390719429665314,0.0003759999999999999,0.03861346915261565,0.0014910000000000001,2.1675809096778833,0.16,3.096327663539503,4095.0,16769025.0,4095.0,16769025.0,4095.0,16769025.0,0.0,0.13849698973734165,0.17719645547723206,1.1400000000000001,0.1754583668585886,0.4955182756461329,13.635631491042297,18.38715175987014,98.25763425296383,18.298434962537055,34.876847132758456,0.9115920140062659,3.806739812557965,0.0065843286881472965,-220.61,-220.61,-220.61,0.0,0.0,16159.39,16111.0,1.0,1.0,9174.901875,13.0,7.333333333333333,1
0.0049000000000000024,-0.18,0.01,-0.012100000000000001,-0.05,-0.01,4.381853311100223,17.740000000000002,2.828118073914171,-9.14,3522.66,3557.0,3522.0,4095.0,4095.0,4095.0,4095.0,4095.0,0.0,4095.0,4095.0,0.0,4095.0,0.045727453460694706,0.002091,0.0194164878389476,0.00037699999999999995,4.392566675646483,0.12,2.8315614067153834,3522.6654765958124,12409172.06,4095.0,16769025.0,4095.0,16769025.0,0.0,0.35617974725062007,0.2905374117880251,1.229081889565117,0.14489631859858176,0.17670613134970245,21.722313445731242,38.29176358651301,213.50576330503546,20.735587483692633,19.332815203847815,1.0427847332982967,5.019171613320365,-0.27914926189044253,384.44,-187.9,-187.9,-572.34,0.0,15619.76,15573.0,2.0,2.0,54655.9375,9.0,7.0,2
0.003900000000000004,-0.18,0.005,-0.015000000000000003,-0.04,-0.02,4.932630430105219,23.689999999999998,2.651286359486655,-6.23,3523.07,3545.0,3523.0,4095.0,4095.0,4095.0,4095.0,4095.0,0.0,4095.0,4095.0,0.0,4095.0,0.048979587585033825,0.0023989999999999997,0.020149441679609886,0.0004060000000000001,5.057125072607954,0.14,2.6945292724333134,3523.074840249636,12412056.33,4095.0,16769025.0,4095.0,16769025.0,0.0,0.37978377990505147,0.311666938447169,1.6753805537847215,0.1466119729303962,0.20381592036309817,27.900128834806377,43.62772296374411,201.6929761297011,20.199413405623556,18.470064376409614,1.0427847332982967,5.112988852874912,-0.340438552656566,384.92,-187.01,-187.01,-571.93,0.0,15621.06,15573.0,2.0,2.0,54586.8775,7.0,14.5,2
